time,x,y,yaw,linear_x,angular_z,min_front_range
1760251270.526343,-1.5339000000181615,-6.615599999318121,1.5700000000000036,0.6,0.0,1.7374603748321533
1760251270.6261096,-1.5340035120698912,-6.5983503270255515,1.5699999999962022,0.6,0.0,1.7374603748321533
1760251270.7263534,-1.5341835332349845,-6.56835086701699,1.5699999999961802,0.6,0.0,1.7169593572616577
1760251270.8262718,-1.5343635543992857,-6.538351407097302,1.5699999999961212,0.6,0.0,1.7169593572616577
1760251270.9260182,-1.5345435755632946,-6.508351947210258,1.569999999996046,0.6,0.0,1.6576900482177734
1760251271.0260918,-1.5347235967271942,-6.478352487335279,1.5699999999959675,0.6,0.0,1.6576900482177734
1760251271.12637,-1.534903617891054,-6.448353027464829,1.5699999999958894,0.6,0.0,1.5945041179656982
1760251271.226092,-1.5350836390548932,-6.418353567596125,1.5699999999958316,0.6,0.0,1.5945041179656982
1760251271.3260922,-1.5352636602187286,-6.388354107728117,1.569999999995814,0.6,0.0,1.5626635551452637
1760251271.426526,-1.5354436813825603,-6.358354647860421,1.569999999995814,0.6,0.0,1.5626635551452637
1760251271.5261052,-1.5356237025463846,-6.328355187992806,1.569999999995814,0.6,0.0,1.4971102476119995
1760251271.6260903,-1.535767719477449,-6.304355620098753,1.5699999999958187,0.6,0.0,1.4971102476119995
1760251271.7261715,-1.53594774064129,-6.274356160231111,1.5699999999958423,0.6,0.0,1.4346075057983398
1760251271.8262887,-1.5361277618051263,-6.244356700363365,1.569999999995898,0.6,0.0,1.4346075057983398
1760251271.926207,-1.5363077829689615,-6.214357240495481,1.5699999999959606,0.6,0.0,1.3868906497955322
1760251272.0261896,-1.5364878041327978,-6.184357780627419,1.5699999999960312,0.6,0.0,1.3868906497955322
1760251272.126226,-1.5366678252966284,-6.154358320759187,1.5699999999961012,0.6,0.0,1.3389430046081543
1760251272.2261147,-1.536847846460471,-6.124358860890777,1.5699999999961731,0.6,0.0,1.3389430046081543
1760251272.3262827,-1.5370278676243072,-6.094359401022228,1.5699999999962295,0.6,0.0,1.268706202507019
1760251272.4261932,-1.5372078887881502,-6.064359941153567,1.5699999999962588,0.6,0.0,1.268706202507019
1760251272.5262876,-1.5373879099519931,-6.034360481284812,1.5699999999962588,0.6,0.0,1.2264831066131592
1760251272.6261091,-1.537567931115843,-6.004361021416107,1.5699999999962584,0.6,0.0,1.2264831066131592
1760251272.7265806,-1.5377479522796866,-5.974361561547415,1.5699999999962577,0.6,0.0,1.1889002323150635
1760251272.8260403,-1.5379279734435314,-5.944362101678826,1.5699999999962477,0.6,0.0,1.1889002323150635
1760251272.9263763,-1.5381079946073744,-5.914362641810357,1.5699999999961853,0.6,0.0,1.141037106513977
1760251273.026055,-1.5382880157712173,-5.884363181942038,1.569999999996108,0.6,0.0,1.141037106513977
