time,x,y,yaw,linear_x,angular_z,min_front_range
1760251077.4190242,-1.5339000000181615,-6.615599999318121,1.5700000000000036,0.6,0.0,1.723800539970398
1760251077.519047,-1.534021514186464,-6.595350381017577,1.5699999999962022,0.6,0.0,1.723800539970398
1760251077.619244,-1.5342015353514384,-6.565350921022411,1.569999999996175,0.6,0.0,1.706494688987732
1760251077.71921,-1.5343455522828737,-6.5413513530872684,1.5699999999961278,0.6,0.0,1.706494688987732
1760251077.819204,-1.5345255734469005,-6.511351893198223,1.569999999996055,0.6,0.0,1.6593502759933472
1760251077.919198,-1.5347055946108077,-6.481352433322501,1.5699999999959768,0.6,0.0,1.6593502759933472
1760251078.0191693,-1.5348856157746704,-6.451352973451767,1.5699999999958993,0.6,0.0,1.6039986610412598
1760251078.119249,-1.53506563693851,-6.421353513582956,1.569999999995841,0.6,0.0,1.6039986610412598
1760251078.2194524,-1.5352456581023466,-6.391354053714898,1.569999999995814,0.6,0.0,1.5403443574905396
1760251078.3192148,-1.5354256792661782,-6.361354593847184,1.569999999995814,0.6,0.0,1.5403443574905396
1760251078.4195213,-1.535605700430003,-6.331355133979561,1.569999999995814,0.6,0.0,1.5028965473175049
1760251078.519094,-1.5357857215938338,-6.301355674111989,1.5699999999958187,0.6,0.0,1.5028965473175049
1760251078.6191025,-1.5359657427576747,-6.271356214244339,1.5699999999958478,0.6,0.0,1.4525039196014404
1760251078.7191138,-1.5361457639215088,-6.241356754376584,1.569999999995904,0.6,0.0,1.4525039196014404
1760251078.8192103,-1.5363257850853462,-6.211357294508682,1.569999999995969,0.6,0.0,1.3725497722625732
1760251078.9191191,-1.5365058062491803,-6.181357834640602,1.5699999999960395,0.6,0.0,1.3725497722625732
1760251079.0190368,-1.536685827413013,-6.151358374772353,1.5699999999961103,0.6,0.0,1.325610876083374
1760251079.1190765,-1.5368658485768556,-6.121358914903925,1.5699999999961822,0.6,0.0,1.325610876083374
1760251079.2190485,-1.5370458697406921,-6.0913594550353665,1.5699999999962357,0.6,0.0,1.279868721961975
1760251079.3190405,-1.5372258909045347,-6.061359995166697,1.5699999999962588,0.6,0.0,1.279868721961975
1760251079.4194665,-1.5373699078356087,-6.037360427271683,1.5699999999962588,0.6,0.0,1.232279658317566
1760251079.5194151,-1.5375499289994587,-6.0073609674029775,1.5699999999962584,0.6,0.0,1.232279658317566
1760251079.6192527,-1.5377299501633017,-5.977361507534276,1.5699999999962577,0.6,0.0,1.1845102310180664
1760251079.7191312,-1.5379099713271454,-5.9473620476656786,1.5699999999962577,0.6,0.0,1.1845102310180664
1760251079.819228,-1.5380899924909885,-5.917362587797199,1.5699999999961967,0.6,0.0,1.154178261756897
1760251079.9192476,-1.5382700136548315,-5.887363127928868,1.569999999996121,0.6,0.0,1.154178261756897
1760251080.0191367,-1.5384500348186745,-5.857363668060694,1.5699999999960452,0.6,0.0,1.1154800653457642
1760251080.1194713,-1.538630055982517,-5.827364208192709,1.5699999999959722,0.6,0.0,1.1154800653457642
1760251080.219203,-1.5388100771463429,-5.797364748324897,1.5699999999959038,0.6,0.0,1.1463963985443115
1760251080.3191657,-1.5389900983101854,-5.767365288457209,1.5699999999958831,0.6,0.0,1.1463963985443115
1760251080.419221,-1.5391701194740175,-5.737365828589623,1.5699999999958831,0.6,0.0,1.14645516872406
1760251080.5191982,-1.539350140637845,-5.707366368722076,1.5699999999958834,0.6,0.0,1.14645516872406
1760251080.6190703,-1.5395301618016874,-5.6773669088545295,1.5699999999958831,0.6,0.0,1.1495704650878906
1760251080.7192147,-1.5397101829655235,-5.647367448986896,1.5699999999958922,0.6,0.0,1.1495704650878906
1760251080.8190613,-1.539890204129346,-5.617367989119152,1.569999999995945,0.6,0.0,1.1391459703445435
1760251080.9191568,-1.5400702252931733,-5.587368529251267,1.5699999999960048,0.6,0.0,1.1391459703445435
1760251081.0191166,-1.5402502464570058,-5.557369069383217,1.569999999996079,0.6,0.0,1.1380939483642578
1760251081.1190655,-1.5404302676208388,-5.527369609514994,1.569999999996149,0.6,0.0,1.1380939483642578
1760251081.2197108,-1.5406102887846813,-5.497370149646593,1.569999999996225,0.6,0.0,1.1310362815856934
1760251081.319177,-1.5407543057157491,-5.473370581751765,1.5699999999962684,0.6,0.0,1.1310362815856934
1760251081.4193938,-1.5409343268795919,-5.443371121883131,1.569999999996284,0.6,0.0,1.1170496940612793
1760251081.5195608,-1.5411143480434344,-5.4133716620143915,1.569999999996284,0.6,0.0,1.1170496940612793
1760251081.6192021,-1.541294369207283,-5.383372202145673,1.5699999999962797,0.6,0.0,1.139146089553833
1760251081.7190998,-1.541474390371127,-5.353372742276972,1.5699999999962706,0.6,0.0,1.139146089553833
1760251081.8191855,-1.5416544115349704,-5.323373282408349,1.5699999999962557,0.6,0.0,1.1415820121765137
1760251081.9191525,-1.541834432698814,-5.293373822539856,1.5699999999961953,0.6,0.0,1.1415820121765137
1760251082.019356,-1.542014453862658,-5.2633743626715015,1.5699999999961194,0.6,0.0,1.133316159248352
1760251082.1192882,-1.5421944750265009,-5.233374902803303,1.5699999999960437,0.6,0.0,1.133316159248352
1760251082.2192845,-1.5423744961903434,-5.203375442935292,1.569999999995969,0.6,0.0,1.1299762725830078
1760251082.319123,-1.5425545173541708,-5.173375983067456,1.5699999999959013,0.6,0.0,1.1299762725830078
1760251082.4191258,-1.5427345385180118,-5.143376523199755,1.5699999999958831,0.6,0.0,1.1353620290756226
1760251082.519244,-1.542914559681847,-5.113377063332156,1.5699999999958831,0.6,0.0,1.1353620290756226
1760251082.619178,-1.5430945808456713,-5.083377603464609,1.5699999999958831,0.6,0.0,1.1263916492462158
1760251082.7190726,-1.5432746020095136,-5.053378143597063,1.5699999999958831,0.6,0.0,1.1263916492462158
1760251082.8189945,-1.543454623173352,-5.023378683729446,1.5699999999958887,0.6,0.0,1.125101089477539
1760251082.9190104,-1.5436346443371756,-4.993379223861723,1.5699999999959418,0.6,0.0,1.125101089477539
1760251083.0195673,-1.5438146655009994,-4.9633797639938635,1.5699999999959982,0.6,0.0,1.1170731782913208
1760251083.1193702,-1.5439586824320704,-4.939380196099449,1.569999999996058,0.6,0.0,1.1170731782913208
1760251083.2193975,-1.5441387035958967,-4.909380736231281,1.5699999999961267,0.6,0.0,1.1214176416397095
1760251083.3191996,-1.5443187247597392,-4.879381276362945,1.569999999996206,0.6,0.0,1.1214176416397095
1760251083.4191277,-1.5444987459235773,-4.849381816494444,1.569999999996265,0.6,0.0,1.11985182762146
1760251083.519265,-1.544678767087419,-4.8193823566258285,1.569999999996287,0.6,0.0,1.11985182762146
1760251083.6192677,-1.5448587882512614,-4.7893828967571,1.569999999996287,0.6,0.0,1.128467321395874
1760251083.7191088,-1.5450388094151088,-4.759383436888368,1.5699999999962801,0.6,0.0,1.128467321395874
1760251083.8192813,-1.5452188305789536,-4.729383977019666,1.5699999999962717,0.6,0.0,1.1175965070724487
1760251083.9193144,-1.545398851742797,-4.699384517151028,1.5699999999962577,0.6,0.0,1.1175965070724487
1760251084.019062,-1.5455788729066418,-4.669385057282514,1.569999999996212,0.6,0.0,1.1258246898651123
1760251084.1193862,-1.5457588940704852,-4.6393855974141385,1.569999999996139,0.6,0.0,1.1258246898651123
1760251084.2192783,-1.5459389152343281,-4.609386137545913,1.5699999999960623,0.6,0.0,1.120477318763733
1760251084.3190677,-1.5461189363981707,-4.579386677677871,1.569999999995986,0.6,0.0,1.120477318763733
1760251084.4194384,-1.5462989575620012,-4.549387217810017,1.5699999999959169,0.6,0.0,1.120477318763733
